low,37,50.05,adj.低的，低廉的
foreign,36,50.12,adj.外国的，对外的
through,35,50.19,prep.通过，借助
might,35,50.25,v.或许，可以
country,35,50.32,n.国家，乡间，故乡
said,35,50.38,adj.上述的，该
spending,35,50.45
recent,35,50.51,adj.近来的，新近的
university,35,50.58,n.大学
global,34,50.64,adj.全世界的，总的
brazils,34,50.7
forces,34,50.77
end,34,50.83,n.结尾
how,34,50.89,adv.如何，多么，怎样
hard,33,50.96,adj.硬的
months,33,51.02
americas,33,51.08
middle,33,51.14,n.当中
oil,33,51.2,n.油，石油
europe,32,51.26,n.欧洲
market,32,51.32,n.市场，销路
likely,31,51.38,adj.可信的adv.很可能
cost,31,51.44,n.成本，费用
interest,31,51.49,n.兴趣，利息，利益
income,31,51.55,n.收入，所得
history,31,51.61,n.历史
gdp,31,51.67
companies,31,51.72
work,31,51.78,n.劳动，工作，作品
rather,31,51.84,adv.相当，颇，宁愿
term,30,51.9,n.期限，学期，术语
often,30,51.95,adv.经常，常常
five,30,52.01,num.五
without,30,52.06,prep.没有，在...外部
does,30,52.12
little,30,52.17,adj.小的，一点，少的
republican,30,52.23,"n.,adj.共和(派)的"
bank,30,52.29,n.岸，银行
few,30,52.34,adj.少的
known,30,52.4
brazil,30,52.45,n.巴西
same,30,52.51,adj.同样的
help,30,52.57,"v.,n.帮助，有助于"
supply,29,52.62,v.供应，供给
christians,29,52.67
during,29,52.73,prep.在...期间
every,29,52.78,adj.每个，所有的
system,29,52.84,n.系统，体制，制度
national,29,52.89,adj.民族的，国家的
right,28,52.94,adj.正确的，右的
rich,28,52.99,adj.富的，富饶的
according,28,53.05,adj.按照，据...说
law,28,53.1,n.法律，定律
any,28,53.15,adj.任何，一些
european,28,53.2,"n.,adj.欧洲人(的)"
put,28,53.25,v.放置，估价，表达
chinas,28,53.31
left,28,53.36,adj.左的
russian,27,53.41,"n.,adj.俄国(人)的"
whose,27,53.46,pron.谁的
debt,27,53.51,n.债，债务
school,27,53.56,n.学校，上学，学系
side,27,53.61,n.边，面，侧面，一方
among,27,53.66,prep.在...之中
investors,27,53.71
great,26,53.76,adj.大的，伟大的
women,26,53.81
making,26,53.86
get,26,53.9,v.获得，记住，到达
you,26,53.95,pron.你，你们
plans,26,54.0
firm,26,54.05,adj.坚固的
free,26,54.1,adj.自由的，空闲的
power,26,54.15,n.力，动力，权力
leaders,26,54.19
already,26,54.24
good,26,54.29,adj.好的，善良的
better,26,54.34,adj.更好的
el,26,54.39
trump,25,54.43
japan,25,54.48,n.日本
him,25,54.53,pron.他(宾格)
own,25,54.57,adj.自己的
russia,25,54.62,n.俄罗斯，俄语
pay,25,54.67,v.支付
part,25,54.71,n.部分，零件，角色
old,25,54.76,adj.老的，...岁的
take,25,54.81,v.拿，带，吃，乘
trade,25,54.85,n.贸易，交换
minister,25,54.9,n.教士，部长，大臣
election,25,54.95,n.选举
best,24,54.99,adj.最好的
set,24,55.04,v.放，指定
while,24,55.08,n.一会儿
emerging,24,55.13
policy,24,55.17,n.政策，方针，保险单
western,24,55.21,adj.西的，西方的
visa,24,55.26,n.签证
britain,24,55.3,n.不列颠，英国
cuts,24,55.35
politics,24,55.39,n.政治学，政治活动
across,24,55.44,prep.横越
visas,24,55.48
plan,24,55.53,"n.计划,平面图"
whether,24,55.57,conj.是否，还是...
money,23,55.61,n.金钱，货币，财富
higher,23,55.66
demand,23,55.7,"v.,n.要求，需求"
last,23,55.74,adj.最后的
need,23,55.79,n.需要，贫困
future,23,55.83,n.将来，前途
keep,23,55.87,v.保持，保留，防止
found,22,55.91,v.创办，使有根据
children,22,55.95
india,22,55.99,n.印度
start,22,56.04,v.开始，着手，发动
late,22,56.08,adj.迟到的，晚的
north,22,56.12,n.北，北方
different,22,56.16,adj.不同的，各种
nearly,22,56.2,adv.几乎，差不多
why,22,56.24,adv.为什么
financial,22,56.28,adj.金融的，财政的
say,22,56.32,v.说
congress,22,56.36,n.(代表)大会，国会
home,22,56.4,n.家，故乡
think,21,56.44,v.想，相信，认为
used,21,56.48
go,21,56.52,v.去，进行，打算
second,21,56.56,num.第二
security,21,56.6,n.安全，有价证券
towards,21,56.64
group,21,56.68,n.群，组，团体
increased,21,56.72
rights,21,56.76
means,21,56.8,n.手段，财力
countrys,21,56.83
united,21,56.87,states
early,21,56.91,adj.早的，初期的
day,21,56.95,n.一天，白天
recently,21,56.99,adv.近来，最近
once,21,57.03,adv.一度，一次
use,20,57.07,v.使用
half,20,57.1,n.一半
policies,20,57.14
price,20,57.18,n.价格，代价
sex,20,57.22,n.性，性别
reform,20,57.25,"v.,n.改革，改造"
i,20,57.29,.我
cut,20,57.33,v.割，切，削减，切断
risk,20,57.36,"n.,v.冒险，风险"
army,20,57.4,n.军队，陆军
company,20,57.44,n.公司，同伴
crisis,20,57.48,n.危险，危险期
including,20,57.51
human,20,57.55,adj.人的，人类的
decade,20,57.59,n.十年
very,20,57.63,adv.很，非常
today,20,57.66,"adv.今天,现在"
lower,20,57.7,v.降低，减弱
however,20,57.74,adv.可是，然而
city,19,57.77,n.城市
top,19,57.81,n.顶，盖子
possible,19,57.84,adj.可能的
internet,19,57.88
place,19,57.91,n.地方，位置
finance,19,57.95,n.金融
called,19,57.98
northern,19,58.02,adj.北方的，北部的
each,19,58.06,"adj.,adv.名，每个"
relations,19,58.09
number,19,58.13,n.数字，若干，号码
want,19,58.16,v.想要，通辑
lost,19,58.2,adj.失去的
christmas,19,58.23,n.圣诞节
week,19,58.27,n.星期，周，工作周
did,18,58.3
biggest,18,58.33
christian,18,58.37,adj.基督教的n.基督徒
short,18,58.4,adj.短的，矮的
problem,18,58.44,n.课题，难题，问题
boost,18,58.47,v.抬高，促进
third,18,58.5,num.第三，三分之一
research,18,58.54,"v.,n.调查，研究"
groups,18,58.57
fall,18,58.6,v.落下，跌倒
budget,18,58.64,n.预算
change,18,58.67,n.变化，零钱
points,18,58.7
international,18,58.74,adj.国际的
rousseff,18,58.77
we,18,58.8,pron.我们
single,18,58.84,adj.单个的，单身的
house,18,58.87,n.房子，剧场，家
economies,18,58.9
although,18,58.94,conj.虽然
deal,18,58.97,v.处理，交易
former,17,59.0,adj.以前的，前者
led,17,59.03
opposition,17,59.07,n.敌对，反抗
todays,17,59.1
itself,17,59.13,pron.它自己
times,17,59.16
support,17,59.19,v.支持，资助，支援
ones,17,59.22
corporate,17,59.26,n.有限公司
decades,17,59.29
near,17,59.32,adv.近
economics,17,59.35,n.经济学
media,17,59.38
things,17,59.41
later,17,59.45,adv.更晚，以后，过后
others,17,59.48
fell,17,59.51,v.砍到
run,17,59.54,v.跑，竞选，行驶
real,17,59.57,adj.真的，纯粹的
britains,17,59.6
front,17,59.64,n.正面，前线
music,17,59.67,n.音乐，乐曲
travellers,17,59.7
hope,16,59.73,"v.,n.希望，愿望"
whaling,16,59.76,n.捕鲸(业)
elections,16,59.79
themselves,16,59.82,pron.他们、它们自己
came,16,59.85
expected,16,59.88
core,16,59.91,n.核，核心
members,16,59.94
nobel,16,59.97
despite,16,60.0,prep.不管，任凭
places,16,60.03
fiscal,16,60.06
enough,16,60.09,"adj.,adv.足够(的)"
indian,16,60.12,"adj.,n.印度人(的)"
become,16,60.15,v.变成
became,16,60.18
americans,16,60.21
building,16,60.24,n.建筑物，大楼
given,16,60.27
strong,16,60.3,adj.强壮的，强烈的
air,16,60.33,n.空气，气派
further,16,60.35,adv.更远，进一步
health,16,60.38,n.健康(状况)
four,16,60.41,num.四
officials,16,60.44
days,16,60.47
exchange,16,60.5,v.交换，兑换
xi,16,60.53
german,16,60.56,adj.德国的
held,16,60.59
travel,16,60.62,v.旅行，传导
centre,16,60.65
ever,16,60.68,adv.曾经，总是，究竟
century,16,60.71,n.世纪
several,15,60.74,adj.几个
remain,15,60.77,n.依旧的，剩余，逗留
large,15,60.8,adj.大的，巨大的
federal,15,60.82,adj.联邦的
perhaps,15,60.85,adv.也许，多半
away,15,60.88,adv.去，远离，在远处
technology,15,60.91,n.技术，工艺
jobs,15,60.94
population,15,60.96,n.人口
seems,15,60.99
force,15,61.02,n.力，力量
reason,15,61.05,n.原因，理由
november,15,61.08,n.十一月
office,15,61.1,n.办公室，事务所
ago,15,61.13,adv....以前
services,15,61.16
deep,15,61.19,adj.深的，深远的
pressure,15,61.21,n.压力，繁忙，紧迫
bush,15,61.24,n.灌木
fast,15,61.27,adj.快的
almost,15,61.3,adv.几乎，差不多
commodity,15,61.33,n.商品
banks,15,61.35
based,15,61.38
water,15,61.41,n.水
non,15,61.44
students,15,61.47
until,14,61.49,"prep.,conj.到...为止"
buchanan,14,61.52
control,14,61.54,"v.,n.控制，管理"
began,14,61.57
went,14,61.6
probably,14,61.62,adv.或许，大概
ten,14,61.65,num.十
bring,14,61.67,v.拿来，带来
csr,14,61.7
action,14,61.73,n.行为，行动
co,14,61.75
doors,14,61.78
ukraine,14,61.81
africa,14,61.83,n.非洲
anti,14,61.86
court,14,61.88,n.法庭，宫廷，球场
southern,14,61.91,adj.南的，南方的
classical,14,61.94,adj.经典的，古典的
general,14,61.96,adj.一般的，总的
germany,14,61.99,n.德国
worlds,14,62.01
small,14,62.04,adj.小的，不重要的
dollar,14,62.07,n.元，美元
institute,14,62.09,n.(专科)学院
military,14,62.12,adj.军事的，好斗的
come,14,62.14,v.来到，出现，发生
politicians,14,62.17
longer,14,62.2
iraq,14,62.22
terms,14,62.25
parties,14,62.27
justice,14,62.3,n.公正，正直
poor,14,62.33,adj.穷的，差的
evidence,14,62.35,n.证据，迹象
elsewhere,14,62.38,adv.在别处
democratic,14,62.4,adj.民主的
thus,14,62.43,adv.如此，这样，因而
west,14,62.46,n.西方
family,13,62.48,n.家庭，家属
argue,13,62.51,v.争论，辩论
men,13,62.53
majority,13,62.55,n.多数，过半数
done,13,62.58
fact,13,62.6,n.事实，真相
close,13,62.63,down
rise,13,62.65,v.起立，晋级，增长
below,13,62.67,"adj.,prep.在...下面"
whole,13,62.7,adj.全部的
seen,13,62.72
saudi,13,62.75
largest,13,62.77
private,13,62.8,adj.私人的，秘密的
provide,13,62.82,v.供给，提供，准备
fed,13,62.84
candidates,13,62.87
officers,13,62.89
look,13,62.92,v.看，看上去
border,13,62.94,n.国界，边境
official,13,62.96,n.官员
rule,13,62.99,n.法规，常规，统治
union,13,63.01,n.联合，联盟，联合会
looks,13,63.04
online,13,63.06
region,13,63.09,n.地区，地域，地带
corruption,13,63.11,n.腐败，腐化
york,13,63.13
victory,13,63.16,n.胜利
korea,13,63.18
especially,13,63.21,adv.特别地，专门地
efforts,13,63.23
labour,13,63.26
main,13,63.28,adj.主要的
show,13,63.3,v.显示，表明
your,13,63.33,pron.你的，你们的
programme,13,63.35
businesses,13,63.38
calls,13,63.4
chance,13,63.42,n.机会，可能性
reforms,13,63.45
share,13,63.47,n.份，股份
asian,13,63.5,adj.亚洲的
view,13,63.52,n.视域，景色，见解
report,12,63.54,v.报告，报导，报道
average,12,63.57,adj.平均的
coalition,12,63.59
asia,12,63.61,n.亚洲
point,12,63.63,n.尖，点，分
cause,12,63.66,n.原因，理由，事业
prediction,12,63.68,n.预言，预报
give,12,63.7
